location,subject,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII
Майкоп,Республика Адыгея (Адыгея),22,24.2,21.1,22.9,20.5,20.5,21.1,22.1,21.4,25.2,21.5,23.1
Катанда,Республика Алтай,26,25.6,50.4,28.8,28.2,28.5,27.3,28.5,29.5,28,20.4,24.8
Кош-Агач,Республика Алтай,42.6,27.3,34.5,25.9,24.4,23.7,22.7,24.5,25.4,24.6,25.7,27.4
Онгудай,Республика Алтай,24.5,25.3,28.9,30.6,30.1,28.7,26.5,29.3,29.9,28.1,23.1,24.4
Яйлю,Республика Алтай,26.6,24.8,23.4,24.8,25.1,23.3,23.1,21.2,23.2,23.4,26.3,36.4
Алейск,Алтайский край,36.6,28.2,23.6,27,30.3,23.6,24.7,24.7,26.5,26.3,24.3,32.8
Барнаул,Алтайский край,35.4,26.4,23.7,27.1,28.9,23.7,21.9,22.7,24.8,23.9,29.6,31.9
Бийск,Алтайский край,34,31.5,31.1,26.4,29.6,24.9,24.6,24.8,27.9,26.6,24.3,38
Змеиногорск,Алтайский край,29.2,30.8,28.3,27.6,27.5,28,25.1,27.3,28.8,26.5,26.6,31
Родино,Алтайский край,35.3,27,23.5,30.8,29.7,25.3,22.4,23.9,25.2,24.2,25,29.3
Рубцовск,Алтайский край,35.2,27.3,24.8,28.2,27.9,27.2,25.1,25.8,27.2,26,24.3,28.3
Славгород,Алтайский край,29.1,25.6,22.8,29.4,30,24.2,22,31.9,25.7,25.9,33.2,29
Тогул,Алтайский край,28.6,25.2,21.4,24.4,28.6,21,21.6,21.2,23.1,20.5,28.3,33.4
Архара,Амурская область,22.9,25.1,27.6,26.6,26,25.5,23.4,24.2,26.4,25.4,26.3,24.2
Белогорск,Амурская область,19.1,23.7,40.2,23.5,24.5,23,18.9,20.5,22.6,24,20,40
Благовещенск,Амурская область,22.9,24.5,23.3,27.1,26.1,23.9,22.5,19,23.9,27.2,21.9,22.4
Бомнак,Амурская область,24.5,24.7,25.2,25.3,27.4,24.2,23.1,23.9,23.3,20.9,22.6,24.5
Братолюбовка,Амурская область,45.1,28.8,27.8,26.7,27.7,26.1,21.9,24.5,25.3,28,28.9,26.9
Бысса,Амурская область,28.9,28.1,29,27.6,38.2,27.8,24.8,25.1,28.8,25.9,24.4,26.4
Ерофей Павлович,Амурская область,24,30.1,28.1,29.8,30,28.1,25.8,24.5,27.7,24.8,24.8,23
Завитая,Амурская область,19,23.3,22.1,24.5,26,23.4,20,21.8,23.1,23.9,25.8,21.6
Зея,Амурская область,22.8,23.3,24.5,26,26.3,25.3,24,24.4,24.7,22.6,22.4,21.4
Норск,Амурская область,31.5,27.6,31.6,26.9,27.7,25.7,24.3,23.2,24.9,26.5,23.7,39.8
Поярково,Амурская область,24.2,26.5,26.7,26.7,28.9,23.9,21.3,20.7,24.6,25.8,23.8,28.3
