id,station_id,subject,location,cold_temperature_1day_098,cold_temperature_1day_092,cold_temperature_5day_098,cold_temperature_5day_092,temperature_094,absolutely_minimal_temperature,mean_1day_amplitude_the_coldest_month,duration_of_period_with_mean_1day_temperature_1,mean_temperature_1,duration_of_period_with_mean_1day_temperature_2,mean_temperature_2,duration_of_period_with_mean_1day_temperature_3,mean_temperature_3,mean_monthly_relative_moisture_the_coldest_month,mean_monthly_relative_moisture_in15oclock_the_coldest_month,precipitation_november_march_mm,dominant_wind_direction_december_february,maximal_of_mean_speed_wind_by_point_january,mean_wind_speed_in_period_of_mean_1day_temperature
1,1,Республика Адыгея (Адыгея),Майкоп,-22,-19,-18,-16,-6,-34,8.4,34,-0.2,147,2.5,167,3.2,77,68,293,Ю,3.6,3.3
2,2,Республика Алтай,Катанда,-43,-40,-42,-38,-27,-48,12.1,171,-13.9,233,-9,255,-7.5,80,76,67,С,1.8,0.7
3,3,Республика Алтай,Кош-Агач,-47,-44,-45,-42,-32,-55,11.5,190,-17.6,256,-12,273,-10.7,81,76,15,В,3.3,1.5
4,4,Республика Алтай,Онгудай,-41,-38,-39,-36,-26,-46,10.5,164,-12.8,228,-8,247,-6.7,78,72,42,СЗ,2.1,0.5
5,5,Республика Алтай,Яйлю,-31,-28,-26,-24,-13,-39,9,148,-5.8,224,-2.4,246,-1.4,66,62,132,В,3.7,2.1
6,6,Алтайский край,Алейск,-41,-38,-38,-35,-24,-47,9.4,160,-11,209,-7.4,225,-6.3,77,74,131,ЮЗ,5.9,3.4
7,7,Алтайский край,Барнаул,-41,-40,-39,-36,-23,-52,10,163,-11.1,214,-7.5,231,-6.2,77,71,125,ЮЗ,3.9,3.4
8,8,Алтайский край,Бийск,-44,-42,-41,-37,-23,-51,12,163,-11.3,213,-7.6,230,-6.4,78,72,186,ЮЗ,4.9,2.3
9,9,Алтайский край,Змеиногорск,-44,-41,-42,-37,-23,-49,12.2,159,-10.2,211,-6.7,229,-5.4,74,66,263,Ю,5.2,3.2
10,10,Алтайский край,Родино,-44,-41,-40,-37,-23,-49,9.8,162,-11.4,207,-8,223,-6.7,78,75,98,Ю,5.9,4.5
11,11,Алтайский край,Рубцовск,-43,-41,-40,-37,-22,-49,10.2,160,-11.4,207,-7.8,222,-6.6,76,74,96,Ю,7.1,5.3
12,12,Алтайский край,Славгород,-44,-41,-40,-37,-24,-48,9.5,162,-12.3,206,-8.8,222,-7.5,80,76,93,Ю,4.9,4.1
13,13,Алтайский край,Тогул,-42,-39,-38,-35,-24,-50,9.1,164,-10.4,218,-6.7,235,-5.6,76,72,160,Ю,4.4,3.1
14,14,Амурская область,Архара,-40,-38,-38,-36,-29,-50,12.5,168,-17,212,-12.6,227,-11.2,77,71,62,СЗ,2.5,2.2
15,15,Амурская область,Белогорск,-40,-39,-38,-36,-30,-46,9.3,171,-16.3,215,-12.1,230,-10.7,77,72,42,СЗ,2.7,2.2
16,16,Амурская область,Благовещенск,-37,-35,-34,-33,-29,-45,10.4,165,-14.7,210,-10.6,224,-9.4,72,63,47,СЗ,2.6,2.1
17,17,Амурская область,Бомнак,-46,-44,-43,-42,-34,-52,9.4,190,-19.6,240,-14.6,255,-13.2,76,71,51,СВ,2.2,1.2
18,18,Амурская область,Братолюбовка,-41,-39,-39,-37,-30,-49,11.7,174,-17.3,221,-12.7,236,-11.3,76,72,41,З,2,2.1
19,19,Амурская область,Бысса,-44,-42,-41,-40,-34,-51,13.6,181,-19.3,232,-14.1,248,-12.6,75,71,60,СВ,2.1,1
20,20,Амурская область,Ерофей Павлович,-43,-40,-38,-37,-36,-50,13,194,-18.1,247,-13.3,262,-12,77,69,36,С,2.3,1.3
21,21,Амурская область,Завитинск,-38,-36,-35,-34,-30,-46,10.1,178,-17.4,225,-12.9,241,-11.4,76,70,57,СЗ,2.1,1.9
22,22,Амурская область,Зея,-46,-44,-43,-42,-35,-52,14.7,190,-19.5,239,-14.6,255,-13.1,69,63,35,С,3.5,
23,23,Амурская область,Норск,-45,-43,-44,-41,-35,-55,13.9,179,-19.5,227,-14.5,243,-13,72,67,51,СВ,2.1,1
24,24,Амурская область,Поярково,-40,-38,-37,-35,-30,-46,11.8,167,-16.4,212,-12,227,-10.6,75,70,49,З,2.5,2
25,25,Амурская область,Свободный,-42,-40,-39,-37,-30,-50,11.7,176,-17.1,222,-12.6,237,-11.3,70,63,50,"З, СЗ",2.9,2.6
26,26,Амурская область,Сковородино,-44,-42,-42,-39,-34,-52,14.5,193,-18.6,244,-13.8,260,-12.4,73,65,32,СВ,2.3,2.2
27,27,Амурская область,Тында,-45,-43,-42,-40,-33,-51,10.4,199,-19.1,250,-14.4,265,-13.1,74,70,52,З,3,2
