id,station_id,subject,location,pressure,temperature_095,temperature_098,mean_maximal_month_temperature,absolutely_maximal_temperature,mean_daily_amplitude_temperature_the_warmest_month,mean_monthly_relative_humidity_the_warmest_month,mean_monthly_relative_humidity_the_warmest_month_15h,precipitation_amount_april_october,max_daily_precipitation_amount,dominant_wind_direction_june_august,minimal_of_mean_speed_wind_by_point_july
1,1,Республика Адыгея (Адыгея),Майкоп,990,27,31,30.1,41,12.8,66,48,517,103,Ю,2.6
2,2,Республика Алтай,Катанда,911,22,26,24.8,37,16.1,72,51,361,41,Ю,0
3,3,Республика Алтай,Кош-Агач,823,19,22,21.6,33,13.5,59,40,106,54,З,0
4,4,Республика Алтай,Онгудай,923,23,27,25.6,38,15,69,49,339,52,СЗ,0
5,5,Республика Алтай,Яйлю,964,21,25,24.8,37,12.8,77,67,763,101,СЗ,0
6,6,Алтайский край,Алейск,999,25,29,27.7,42,13,66,49,293,85,ЮЗ,0
7,7,Алтайский край,Барнаул,999,24,28,26.6,38,12.6,67,49,297,66,З,0
8,8,Алтайский край,Бийск,993,25,28,26.9,40,13.5,70,51,367,60,З,0
9,9,Алтайский край,Змеиногорск,978,25,28,26.4,40,14,67,48,428,113,Ю,2.4
10,10,Алтайский край,Родино,1001,26,29,28.2,42,13.9,59,42,237,57,СВ,2.9
11,11,Алтайский край,Рубцовск,994,26,29,28.3,41,13.9,63,44,242,61,С,3.6
12,12,Алтайский край,Славгород,1004,26,30,28.2,40,13.1,58,42,223,70,С,3.4
13,13,Алтайский край,Тогул,987,24,27,26,38,12.4,70,54,386,67,С,2.6
14,14,Амурская область,Архара,997,24,27,26.7,37,10.6,77,62,574,104,В,0
15,15,Амурская область,Белогорск,991,25,28,26.9,42,10.6,74,59,490,105,Ю,2.5
16,16,Амурская область,Благовещенск,997,25,28,27.5,39,10.5,75,58,513,122,Ю,0
17,17,Амурская область,Бомнак,970,22,26,24.9,36,12.3,73,57,522,101,В,0
18,18,Амурская область,Братолюбовка,985,24,27,26.2,37,11.6,78,63,497,195,ЮВ,0
19,19,Амурская область,Бысса,978,24,27,26.3,36,13.7,78,60,562,113,В,0
20,20,Амурская область,Ерофей Павлович,951,23,26,25.1,37,13.3,73,55,422,111,С,0
21,21,Амурская область,Завитинск,984,24,27,25.5,37,10.5,77,63,536,127,ЮВ,0
22,22,Амурская область,Зея,980,23,27,25.5,36,14.3,78,60,495,75,С,0
23,23,Амурская область,Норск,988,24,27,26.2,35,12.3,78,59,499,135,Ю,0
24,24,Амурская область,Поярково,999,25,28,27,39,11.1,78,63,472,100,В,0
25,25,Амурская область,Свободный,989,24,28,26.6,42,12,76,60,523,92,Ю,0
26,26,Амурская область,Сковородино,966,23,26,23.9,36,14.7,77,56,419,107,СВ,0
27,27,Амурская область,Тында,951,22,26,24.7,36,13.9,74,56,527,93,З,0
28,28,Амурская область,Усть-Нюкжа,963,22,26,25.3,37,13.8,73,53,420,128,В,0
29,29,Амурская область,Черняево,988,24,28,26.4,38,12.3,76,57,398,112,"СВ, З",0
30,30,Амурская область,Шимановск,979,24,28,25.1,39,12.6,75,59,460,91,С,0
31,31,Амурская область,Экимчан,948,22,26,24.6,35,13.3,77,54,629,97,В,0
32,32,Архангельская область,Архангельск,1011,20,24,22.1,34,10.8,73,60,382,63,С,2.9
33,33,Архангельская область,Емецк,1010,21,25,21.8,35,9.2,72,58,376,71,С,2.7
34,34,Архангельская область,Каргополь,998,20,24,23,35,11,75,59,442,69,С,2.6
35,35,Архангельская область,Койнас,1004,20,25,22.9,36,12.3,70,55,399,80,"З, СЗ",2.9
36,36,Архангельская область,Котлас,1006,22,25,23.8,35,12,75,58,387,82,"С, Ю",2.9
37,37,Архангельская область,Мезень,1009,19,23,20.7,35,10.6,75,63,374,127,С,3.6
38,38,Архангельская область,Онега,1011,20,24,22.3,36,9.9,72,60,396,72,С,2.7
39,39,Архангельская область,Шенкурск,1007,22,25,23.9,36,11.1,69,53,394,76,Ю,2.9
40,40,Астраханская область,Астрахань,1021,30,33,32.4,41,12.7,56,36,145,73,В,3.2
41,41,Астраханская область,Верхний Баскунчак,1014,30,34,32.6,45,13.5,46,31,161,76,З,3.6
42,42,Республика Башкортостан,Белорецк,950,22,26,23.9,38,12.7,70,52,357,75,З,0
43,43,Республика Башкортостан,Дуван,976,23,26,24.5,38,12.1,69,55,380,72,С,0
44,44,Республика Башкортостан,Мелеуз,997,26,30,27.6,41,13.7,64,46,278,78,С,0
45,45,Республика Башкортостан,Уфа,1005,25,28,26.3,38,12.8,68,52,356,58,С,0
46,46,Республика Башкортостан,Янаул,1004,24,28,25.8,39,13.3,71,53,346,65,З,0
47,47,Белгородская область,Белгород,991,24,28,27,39,11.4,67,51,356,83,С,3.5
48,48,Брянская область,Брянск,990,23,26,24.3,38,10.1,72,57,438,119,З,0
49,49,Республика Бурятия,Бабушкин,963,18,20,19.9,34,8.4,81,75,441,197,З,0
50,50,Республика Бурятия,Багдарин,904,21,24,23.6,35,15.4,70,49,371,72,"С, СЗ",0
51,51,Республика Бурятия,Баргузин,959,23,26,25.5,38,13.2,67,53,263,78,З,0
52,52,Республика Бурятия,Кяхта,924,23,27,25.7,40,12.4,63,50,318,88,С,0
53,53,Республика Бурятия,Монды,868,20,23,22.2,34,14.4,72,52,320,105,В,0
54,54,Республика Бурятия,Нижнеангарск,962,19,23,22,35,9.6,73,62,285,85,Ю,0
55,55,Республика Бурятия,Сосново-Озерское,905,20,24,23.2,37,12.8,70,55,289,59,З,0
56,56,Республика Бурятия,Уакит,888,19,22,21.5,32,13.3,70,55,372,98,СЗ,0
57,57,Республика Бурятия,Улан-Удэ,957,24,28,26.7,40,12.9,62,46,223,92,СЗ,0
58,58,Республика Бурятия,Хоринск,938,24,28,26.5,40,14.7,63,45,243,71,З,0
59,59,Владимирская область,Владимир,995,21,25,24.8,37,10.7,73,58,403,109,С,0
60,60,Владимирская область,Муром,1002,23,27,25.9,39,12.2,61,43,402,78,С,3.3
61,61,Волгоградская область,Волгоград,1004,29,32,30.5,43,11.2,50,36,224,82,В,2.5
62,62,Волгоградская область,Камышин,1003,26,32,29.8,42,11.5,55,41,231,86,З,4.1
63,63,Волгоградская область,Котельниково,1012,28,32,30.7,42,12.2,53,35,234,87,В,2.8
64,64,Волгоградская область,Новоаннинский,1006,28,32,29.3,43,13.4,61,43,294,92,С,3
65,65,Волгоградская область,Эльтон,1017,30,33,32.5,45,13.7,46,33,172,99,В,3.8
66,66,Вологодская область,Бабаево,997,22,25,23.7,37,11.8,74,56,427,78,З,0
67,67,Вологодская область,Вологда,999,21,25,23.7,39,11.7,76,59,390,74,З,3.3
68,68,Вологодская область,Вытегра,1007,21,25,23.2,36,10.9,74,59,458,95,З,0
69,69,Вологодская область,Никольск,997,22,26,24.2,37,12,76,59,426,58,С,0
70,70,Вологодская область,Тотьма,998,21,25,23.5,37,11.3,75,58,415,79,С,2.8
71,71,Воронежская область,Воронеж,999,25,29,27,41,11.7,68,50,374,114,З,0
72,72,Республика Дагестан,Дербент,1019,28,30,29.5,39,7.5,69,65,217,113,СЗ,0
73,73,Республика Дагестан,Махачкала,1018,27,29,29.4,39,8,69,62,211,124,В,3.6
74,74,Республика Дагестан,Терекли-Мектеб,1015,31,35,32.9,43,13.8,61,40,192,84,В,2.5
75,75,Еврейская автономная область,Биробиджан,1003,25,28,27.1,38,11.1,81,69,683,142,В,0
76,76,Еврейская автономная область,Екатерино-Никольское,1005,25,28,27.5,40,10.7,81,64,566,163,СВ,0
