location,subject,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,year
Майкоп,Республика Адыгея (Адыгея),-0.2,0.9,5.7,11.9,16.3,20.2,23,22.8,18,11.5,6.1,1.8,11.7
Катанда,Республика Алтай,-21.2,-17.3,-7.8,3.4,9.9,14.6,16,13.8,8.1,0.8,-10,-18.7,-0.7
Кош-Агач,Республика Алтай,-27.6,-23.6,-11.9,0.2,7,13,14.7,12.6,6.4,-2.7,-15.4,-24.5,-4.3
Онгудай,Республика Алтай,-19.3,-15.7,-5.6,4.4,10.6,15.5,17,14.6,8.8,1.5,-9,-17,0.5
Яйлю,Республика Алтай,-8.3,-7.8,-2.6,4.1,9.7,14.6,17.1,15.5,10.2,4.2,-2.3,-6.3,4
Алейск,Алтайский край,-16.1,-14.6,-6.9,4.8,13,18.6,20.5,17.7,11.4,3.9,-5.8,-12.9,2.8
Барнаул,Алтайский край,-16.4,-14.5,-6.8,4.1,12.2,18.1,19.8,17,11,3.3,-6.5,-13.5,2.3
Бийск,Алтайский край,-16.6,-14.8,-7.1,4.2,12.2,17.9,19.8,17.1,11,3.4,-6.4,-13.5,2.3
Змеиногорск,Алтайский край,-14.5,-13.5,-6.7,4.5,12.3,17.7,19.3,16.9,11.2,4,-5.3,-11.9,2.8
Родино,Алтайский край,-16.3,-15.3,-8,4.9,13.2,19,20.7,18,11.8,3.8,-6.1,-13.1,2.7
Рубцовск,Алтайский край,-16.4,-15,-7.5,5,13.2,19,20.6,18.1,11.9,4.1,-5.8,-13.2,2.8
Славгород,Алтайский край,-17.8,-16.3,-8.4,5,13.2,19.5,21.1,18.3,12,3.6,-6.8,-14.1,2.5
Тогул,Алтайский край,-15.2,-13.7,-6.5,3.5,11.6,17.2,19.3,16.6,10.6,3.3,-6.2,-12.6,2.3
Архара,Амурская область,-26,-20.5,-9.2,4,12.2,18.1,21.2,18.9,11.9,2.3,-11.4,-23.2,-0.1
Белогорск,Амурская область,-24.6,-19.2,-8.8,3.5,12.1,18.9,21.3,18.9,11.8,1.8,-12.4,-22.8,0
Благовещенск,Амурская область,-22.1,-17.2,-7,4.4,12.7,19.1,21.8,19.5,12.6,3,-10.2,-20.2,1.4
Бомнак,Амурская область,-30,-23.8,-12.2,-0.3,8.7,15.6,18.2,15.7,8.6,-2.4,-19,-29.3,-4.2
Братолюбовка,Амурская область,-26.2,-20.6,-10.2,2.8,11.2,17.7,20.3,18,11,1.1,-13.3,-24.3,-1
Бысса,Амурская область,-29.3,-23.4,-11.9,1.3,9.9,16.5,19.1,16.5,9.4,-0.8,-16.3,-27.5,-3
Ерофей Павлович,Амурская область,-27.6,-22,-13,-1.2,7.5,15,18.3,15,7.9,-3.4,-17.6,-26.3,-4
Завитинск,Амурская область,-26.9,-20.9,-11.6,1.3,9.7,16.7,20.3,18.1,11.3,1.1,-13.4,-24,-1.5
Зея,Амурская область,-25.1,-19.7,-9.5,2.1,10.8,17.7,20.3,17.5,10,-0.4,-15.4,-24.2,-1.3
Норск,Амурская область,-29.7,-23.7,-11.8,1.7,10.5,17.1,19.8,17.1,9.9,-0.3,-16,-27.9,-2.8
Поярково,Амурская область,-25.1,-19.5,-8.8,4.1,12.4,18.7,21.3,19.3,12.2,2.6,-10.9,-22.2,0.3
Свободный,Амурская область,-25.7,-20.3,-10,2.6,11.2,17.8,20.4,17.9,10.7,0.5,-14,-24.1,-1.1
Сковородино,Амурская область,-27.5,-23.1,-13.1,-0.5,8.6,15.3,18,14.9,7.4,-3.5,-18.6,-27,-4.1
Тында,Амурская область,-28.9,-23.7,-13.8,-1.6,7.7,15,17.6,14.5,6.6,-4.9,-20.1,-28.3,-5
Усть-Нюкжа,Амурская область,-31,-25,-13.9,-2,7.3,14.9,17.7,14.7,6.7,-4.7,-20.5,-30.1,-5.5
Черняево,Амурская область,-26.4,-21.5,-10.9,1.7,10.4,17.3,19.9,17.2,9.8,-0.6,-15.6,-24.9,-2
Шимановск,Амурская область,-25.4,-20.5,-10.4,1.8,10.5,17.4,19.9,17.3,10,-0.2,-14.6,-24.1,-1.5
Экимчан,Амурская область,-30.6,-24.2,-13.3,-1.4,7.5,14.4,17.3,14.9,7.7,-2.9,-18.1,-29.4,-4.8
Архангельск,Архангельская область,-13.3,-11.7,-5.7,0.3,6.9,12.8,16.2,13.4,8.2,1.9,-4.5,-9.4,1.3
Емецк,Архангельская область,-13.9,-12.1,-5.8,0.6,7.7,13.7,16.9,13.8,8.3,1.8,-4.8,-9.9,1.4
Каргополь,Архангельская область,-12.4,-10.8,-4.9,1.9,9.1,14.3,17.1,14.3,8.8,2.4,-3.8,-8.7,2.3
Койнас,Архангельская область,-16.9,-14.6,-7.2,-0.9,5.7,12.4,16.2,12.6,7.1,0.2,-7.1,-12.7,-0.4
Котлас,Архангельская область,-13.9,-11.9,-4.8,2.4,9.3,14.6,17.4,14.4,8.6,2,-4.9,-10.4,1.9
