location,subject,maximal_temperature_amplitude
Александров Гай,Саратовская область,23
Анучино,Приморский край,23
Арзгир,Ставропольский край,26
Архара,Амурская область,23
Астрахань,Астраханская область,21
Белогорск,Амурская область,19
Бикин,Хабаровский край,20
Биробиджан,Еврейская автономная,27
Благовещенск,Амурская область,23
Борзя,Забайкальский край,27
Верхний,Баскунчак Астраханская,21
Волгоград,Волгоградская область,18
Вяземский,Хабаровский край,21
Гигант,Ростовская область,20
Грозный,Чеченская Республика,24
Дальнереченск,Приморский край,20
Дербент,Республика Дагестан,16
Екатерино-Никольское,Хабаровский край,30
Камышин,Волгоградская область,19
Керчь,Республика Крым,22
Кировский,Приморский край,20
Клепинино,Республика Крым,22
Котельниково,Волгоградская область,24
Краснодар,Краснодарский край,22
Магас,Республика Ингушетия,20
Майкоп,Республика Адыгея,21
Миллерово,Ростовская область,21
Минеральные,Воды Ставропольский,25
Нальчик,Кабардино-Балкарская Республика,19
Невинномысск,Ставропольский край,23
Новоаннинский,Волгоградская область,22
Оренбург,Оренбургская область,21
Поярково,Амурская область,21
Приморско-Ахтарск,Краснодарский край,17
Ростов-на-Дону,Ростовская область,20
Рубцовск,Алтайский край,25
Саратов,Саратовская область,20
Севастополь,Республика Крым,17
Симферополь,Республика Крым,21
Славгород,Алтайский край,22
Сорочинск,Оренбургская область,22
Сочи,Краснодарский край,18
Ставрополь,Ставропольский край,18
Таганрог,Ростовская область,16
Терекли-Мектеб,,24
Тихорецк,,19
Троицкое,Хабаровский край,22
Феодосия,Республика Крым,16
Хабаровск,Хабаровский край,20
Черкесск,Карачаево-Черкесская Республика,22
Элиста,Республика Калмыкия,21
Эльтон,Волгоградская область,21
