station,subject,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,year
Майкоп,Республика Адыгея (Адыгея),4.9,5,6.3,9.1,12.8,15.9,17.7,17.2,13.8,10.2,7.5,5.7,10.5
Катанда,Республика Алтай,1.1,1.4,2.6,4.6,6.9,10.7,12.8,11.2,7.5,4.8,2.6,1.4,5.7
Кош-Агач,Республика Алтай,0.6,0.9,1.9,3.3,5,7.7,9.4,8.1,5.3,3.2,1.6,0.8,4
Онгудай,Республика Алтай,1.2,1.5,2.8,4.6,7,10.9,13.1,11.4,7.6,4.8,2.5,1.5,5.8
Яйлю,Республика Алтай,2.3,2.3,3.3,5.2,7.9,12.2,14.8,13.4,9.1,5.7,3.6,2.7,6.9
Алейск,Алтайский край,1.7,1.9,3.2,5.6,8.2,12.8,15.9,13.5,8.9,5.9,3.5,2.1,6.9
Барнаул,Алтайский край,1.7,1.8,3,5.3,7.6,12.7,15.7,13.3,8.9,5.7,3.4,2.1,6.8
Бийск,Алтайский край,1.7,1.8,3.1,5.6,8.1,13.2,16.1,13.7,9.2,5.9,3.5,2.1,7
Змеиногорск,Алтайский край,1.8,1.9,3.1,5.5,8,12.4,14.9,12.7,8.5,5.7,3.4,2.2,6.7
Родино,Алтайский край,1.7,1.8,3.1,5.5,7.4,11.5,14.6,12.2,8.2,5.7,3.5,2.2,6.5
Рубцовск,Алтайский край,1.7,1.9,3.2,5.7,8.3,12.7,15.6,13.1,8.9,5.9,3.5,2.2,6.9
Славгород,Алтайский край,1.6,1.7,3.1,5.7,7.5,11.7,14.8,12.5,8.4,5.8,3.5,2.1,6.5
Тогул,Алтайский край,1.8,1.9,3,5,7.7,12.7,15.6,13.6,9,5.7,3.4,2.1,6.8
Архара,Амурская область,0.7,1,2.3,4.6,8.2,14.7,19.4,17.6,10.7,4.8,2.1,0.9,7.2
Белогорск,Амурская область,0.7,1.1,2.2,4.4,7.5,13.9,18.8,16.5,9.8,4.5,1.9,0.8,6.8
Благовещенск,Амурская область,0.8,1.2,2.3,4.3,7.8,14.5,19.4,17.3,10.3,4.6,2.1,1,7.1
Бомнак,Амурская область,0.5,0.7,1.6,3.4,6.3,11.8,15.4,13.9,8.3,3.6,1.2,0.5,5.6
Братолюбовка,Амурская область,0.6,0.9,2,4.2,7.4,13.7,18.5,16.3,9.6,4.4,1.8,0.8,6.7
Бысса,Амурская область,0.5,0.8,1.7,3.9,7,12.8,17.1,15.1,9.2,4.2,1.6,0.6,6.2
Ерофей Павлович,Амурская область,0.6,0.9,1.7,3.4,5.9,11.6,15.1,12.9,7.3,3.4,1.4,0.7,5.4
Завитинск,Амурская область,0.7,1,2.1,4.4,7.6,14,18.8,16.8,10,4.6,1.9,0.9,6.9
Зея,Амурская область,0.7,1,2,3.8,6.8,13.1,17.2,15.2,9,4,1.6,0.8,6.3
Норск,Амурская область,0.5,0.7,1.7,3.9,7.4,13.5,17.7,15.6,9.2,4.1,1.6,0.6,6.4
Поярково,Амурская область,0.7,1,2.3,4.5,7.8,14.6,19.6,17.4,10.3,4.8,2.1,0.9,7.2
Свободный,Амурская область,0.6,0.9,1.9,4,7,13.4,18.1,15.8,9.2,4,1.6,0.7,6.4
Сковородино,Амурская область,0.5,0.8,1.6,3.4,6.1,11.8,15.8,13.4,7.7,3.4,1.3,0.6,5.5
Тында,Амурская область,0.5,0.7,1.5,3.2,5.7,11,14.7,12.5,7.1,3.1,1.1,0.5,5.1
Усть-Нюкжа,Амурская область,0.4,0.7,1.5,3.1,5.7,11,14.6,12.8,7.3,3.2,1.1,0.5,5.1
Черняево,Амурская область,0.6,0.9,1.9,4,7.3,13.3,17.6,15.3,9,4,1.5,0.7,6.3
Шимановск,Амурская область,0.7,0.9,1.9,3.9,7,13.2,17.6,15.3,9,4,1.6,0.7,6.3
Экимчан,Амурская область,0.5,0.8,1.7,3.6,6.4,11.5,15.1,13.9,8.6,4.2,1.5,0.5,5.7
Архангельск,Архангельская область,2.4,2.6,3.5,4.6,6.8,10.2,13.6,12.5,9.4,6.4,4.3,3.2,6.6
Емецк,Архангельская область,2.3,2.5,3.4,4.7,7.2,10.6,13.8,12.6,9.4,6.4,4.2,3,6.7
Каргополь,Архангельская область,2.6,2.7,3.6,5.1,7.6,11.2,14.4,13.2,9.9,6.7,4.5,3.3,7.1
Койнас,Архангельская область,2,2.2,3.2,4.3,6.1,9.5,12.7,11.5,8.8,5.8,3.7,2.6,6
Котлас,Архангельская область,2.3,2.5,3.6,5.2,7.8,11.7,14.8,13.2,9.6,6.3,4.2,2.9,7
Мезень,Архангельская область,2.2,2.3,3.2,4.3,6.1,9.2,12.6,11.6,8.9,6,3.9,2.9,6.1
Онега,Архангельская область,2.6,2.7,3.6,4.9,7.1,10.4,13.7,12.6,9.6,6.6,4.5,3.3,6.8
Шенкурск,Архангельская область,2.4,2.6,3.5,4.9,7.1,10.6,13.8,12.7,9.4,6.4,4.3,3,6.7
Астрахань,Астраханская область,4,4,5.3,8.1,11.7,15.3,17.4,16.4,12.8,9.1,6.6,4.9,9.6
Верхний Баскунчак,Астраханская область,3.4,3.4,4.8,7.3,9.7,12.3,13.7,12.6,10.2,7.5,5.7,4.1,7.9
Белорецк,Республика Башкортостан,1.9,1.9,2.9,5.1,7.4,11.3,13.6,12,8.4,5.4,3.3,2.2,6.3
Дуван,Республика Башкортостан,2,2.1,3.2,5.4,7.8,12,14.6,13,9.2,5.9,3.7,2.4,6.8
Мелеуз,Республика Башкортостан,2.1,2.1,3.4,6.2,8.7,12.9,15.3,13.1,9.4,6.3,4.1,2.6,7.2
Уфа,Республика Башкортостан,2.2,2.2,3.5,6.1,8.8,13.2,15.6,14,10,6.5,4.2,2.7,7.4
Янаул,Республика Башкортостан,2.2,2.2,3.4,5.9,8.5,12.9,15.3,13.5,9.8,6.4,4.1,2.7,7.2
Белгород,Белгородская область,3.6,3.7,4.8,7.1,10.1,13.8,15.4,14,10.8,8,5.7,4.3,8.5
Брянск,Брянская область,3.4,3.5,4.5,7,10.2,133,15.3,14,10.8,7.7,5.6,4.2,8.3
Бабушкин,Республика Бурятия,1.6,1.5,2.5,4.2,6.2,10.1,13.9,13.5,9,5.2,3.1,2.2,6.1
Багдарин,Республика Бурятия,0.5,0.7,1.4,2.8,4.7,8.9,12.2,10.6,5.9,2.9,1.3,0.6,4.4
Баргузин,Республика Бурятия,0.7,0.9,2,3.7,5.8,10.6,14.3,13.1,8.1,4.3,2.2,1.1,5.6
Кяхта,Республика Бурятия,1,1.3,2.4,3.7,6,10.3,13.7,12.4,7.8,4.2,2.2,1.2,5.5
Монды,Республика Бурятия,1,1.1,1.7,2.9,4.7,8.7,11.7,10.3,6.1,3.5,1.9,1.2,4.6
Нижнеангарск,Республика Бурятия,0.9,1,1.8,3.3,5.4,9.7,13.6,12.6,7.6,3.9,2,1.3,5.3
Сосново-Озерское,Республика Бурятия,0.8,1,1.8,3.2,5.1,9.7,13.1,11.8,6.9,3.7,1.9,1.1,5
Уакит,Республика Бурятия,0.5,0.7,1.3,2.4,4.3,8.5,11.7,10.1,5.7,2.8,1.2,0.6,4.2
Улан-Удэ,Республика Бурятия,0.8,1.1,2.3,3.7,5.8,10.2,14,12.8,7.9,4.3,2.2,1.2,5.5
Хоринск,Республика Бурятия,0.7,1.1,1.9,3.3,5.5,10,13.6,12.2,7.2,3.9,2,1,5.2
Владимир,Владимирская область,2.9,2.9,3.9,6.2,9.4,12.9,15.4,14.3,10.5,7.1,4.8,3.5,7.8
Муром,Владимирская область,2.9,2.9,3.9,6.3,9.4,13.1,15.4,14.1,10.5,7.2,4.9,3.5,7.9
Волгоград,Волгоградская область,3.5,3.5,4.8,7.2,9.8,12.8,14.2,13,10.4,7.9,5.8,4.3,8.1
Камышин,Волгоградская область,3.1,3.1,4.4,6.8,9.4,12.7,14.3,13,10,7.4,5.4,3.8,7.8
Котельниково,Волгоградская область,4,4,5.4,7.9,10.8,13.8,14.7,13.6,11,8.3,6.5,4.9,8.7
Новоаннинский,Волгоградская область,3.3,3.3,4.6,7.3,10.2,13.7,15.3,13.6,10.4,7.6,5.6,4,8.2
Эльтон,Волгоградская область,3.2,3.2,4.6,7.6,9.8,12.3,13.8,12.4,9.9,7.3,5.5,3.9,7.8
Бабаево,Вологодская область,3,3,3.9,5.5,8.3,11.5,14.4,13.3,10,7,4.9,3.6,7.4
Вологда,Вологодская область,2.7,2.8,3.8,5.6,8.4,12.2,14.9,13.6,10,6.8,4.6,3.3,7.4
Вытегра,Вологодская область,2.8,2.9,3.9,5.3,7.9,11.4,14.5,13.4,10.2,7.1,4.9,3.6,7.3
Никольск,Вологодская область,2.4,2.6,3.7,5.5,8.1,12,15,13.4,9.8,6.5,4.3,3,7.2
Тотьма,Вологодская область,2.5,2.7,3.6,5.3,8,11.9,14.7,13.4,9.8,6.5,4.4,3.1,7.2
Воронеж,Воронежская область,3.4,3.4,4.5,7.1,10,13.6,15.7,14.1,10.8,7.8,5.5,4.1,8.3
Дербент,Республика Дагестан,6.2,6.1,7.3,9.9,14.1,18.6,21.8,22.2,18.2,13.5,9.7,7.3,12.9
Махачкала,Республика Дагестан,5.6,5.7,7.1,9.8,13.9,18,21.1,21.4,17.3,12.6,8.8,6.6,12.3
Терекли-Мектеб,Республика Дагестан,5,5.2,6.6,9.2,13,16.3,18.5,18.3,14.9,11.1,8.1,6.1,11
Биробиджан,Еврейская автономная область,0.9,1.3,2.6,5.1,8.8,15.3,20.1,18.7,11.6,5.4,2.4,1.1,7.8
Екатерино-Никольское,Еврейская автономная область,1,1.4,2.6,5.1,8.9,15.4,20.5,18.9,11.7,5.6,2.5,1.2,7.9
Облучье,Еврейская автономная область,0.7,1,2.1,4.4,7.6,13.6,18.2,16.6,10.1,4.7,2,0.8,6.8
Агинское,Забайкальский край,0.8,1,1.8,3.2,5.5,10.3,14.4,12.9,7.3,3.7,1.8,1,5.3
Акша,Забайкальский край,0.8,1.1,1.9,3.3,5.4,10.1,14.3,12.8,7.3,3.8,1.9,1.1,5.3
Александровский Завод,Забайкальский край,0.6,0.9,1.7,3.3,5.5,10.5,14.5,12.6,7,3.5,1.6,0.8,5.2
Борзя,Забайкальский край,0.7,1,2,3.4,5.7,10.7,14.9,13.2,7.5,3.7,1.8,0.9,5.4
Дарасун,Забайкальский край,0.9,1.1,1.9,3.1,5.1,10.2,14.2,12.6,7.1,3.6,1.9,1.1,5.2
Калакан,Забайкальский край,0.3,0.6,1.3,2.9,5.2,10,13.7,12,6.5,3,1.1,0.4,4.8
Красный Чикой,Забайкальский край,0.7,1.1,2.2,3.6,5.7,10.3,14.1,12.9,7.6,4,2,1,5.4
Могоча,Забайкальский край,0.5,0.8,1.7,3.3,5.7,10.7,14.2,12.4,7,3.3,1.3,0.6,5.1
Нерчинск,Забайкальский край,0.5,0.8,2,3.7,6.2,11.6,15.7,13.9,8,3.9,1.7,0.7,5.7
Нерчинский Завод,Забайкальский край,0.6,0.9,2,3.7,6.2,11.6,15.4,13.6,7.9,3.8,1.7,0.8,5.7
Средний Калар,Забайкальский край,0.3,0.5,1.2,2.7,4.9,9.4,12.6,11,6.1,2.8,1,0.4,4.4
Тунгокочен,Забайкальский край,0.5,0.8,1.5,3.2,5.3,9.9,13.2,11.6,6.4,3.2,1.4,0.6,4.8
Тупик,Забайкальский край,0.4,0.6,1.3,3,5.4,10.7,14.1,12.2,6.8,3.1,1.2,0.5,4.9
Чара,Забайкальский край,0.4,0.6,1.2,2.8,5,9.6,12.9,11.3,6.4,3,1.1,0.5,4.6
Чита,Забайкальский край,0.7,1,1.8,3,5,9.9,13.9,12.7,7.2,3.6,1.8,0.9,5.1
Иваново,Ивановская область,2.9,2.8,3.8,6,9.2,12.8,15.1,13.9,10.3,7,4.7,3.5,7.7
Кинешма,Ивановская область,2.8,2.8,3.8,5.8,8.8,12.5,15.1,13.8,10.2,7,4.7,3.4,7.6
Магас,Республика Ингушетия,4.3,4.6,6,8.5,12.4,16.1,17.9,17.6,13.9,10,6.4,4.8,10.2
Алыгджер,Иркутская область,1.2,1.4,2,3.3,5.5,9.7,12.8,11,6.8,3.8,2.1,1.4,5.1
Байкальск,Иркутская область,1.6,1.5,2.5,4.2,6.4,10.8,14.7,13.7,9.1,5.4,3.2,2.2,6.3
Бодайбо,Иркутская область,0.6,0.8,1.7,3.4,5.7,10.5,14.3,12.9,7.8,3.8,1.5,0.7,5.3
Братск,Иркутская область,1.2,1.4,2.3,3.9,6,10.9,14.8,13.3,8.5,4.9,2.8,1.6,6
Верхне-Марково,Иркутская область,0.8,1,1.9,3.7,6,10.8,14.6,13,7.9,4.2,2,1,5.5
Верхняя Гутара,Иркутская область,1.2,1.4,2.2,3.6,5.5,9.5,12.5,10.7,6.7,3.9,2.2,1.5,5.1
Ербогачен,Иркутская область,0.6,0.7,1.5,2.9,5.1,9.7,12.8,11.2,6.7,3.5,1.4,0.7,4.8
Ершово,Иркутская область,1.1,1.4,2.2,3.5,5.7,10.5,13.9,12.4,7.9,4.4,2.5,1.4,5.6
Жигалово,Иркутская область,0.7,1,2.1,3.9,6.1,10.9,14.7,13.1,8,4.3,2.1,1,5.7
Зима,Иркутская область,1.1,1.4,2.4,4.1,6.3,11,14.4,12.8,8.1,4.6,2.5,1.4,5.8
Ика,Иркутская область,0.7,0.8,1.6,3.1,5.3,10,13.2,11.4,6.8,3.7,1.7,0.8,4.9
Иркутск,Иркутская область,1.3,1.5,2.5,4,6.4,11.3,15.1,13.7,8.8,5.1,2.9,1.8,6.2
Киренск,Иркутская область,0.8,1,1.9,3.5,5.8,11.1,14.9,13.1,7.9,4.1,2,1,5.6
