id,month,orientation,N_40,N_44,N_48,N_52,N_56,N_60,N_64,N_68
1,Январь,С,120,105,90,74,57,39,20,0
2,Январь,СВ/СЗ,125,109,92,75,57,39,20,0
3,Январь,В/З,255,223,189,142,100,61,27,0
4,Январь,ЮВ/ЮЗ,453,467,413,340,259,170,72,0
5,Январь,Ю,675,655,576,472,358,232,95,0
6,Февраль,С,129,128,126,119,108,92,72,47
7,Февраль,СВ/СЗ,147,146,140,130,116,97,75,49
8,Февраль,В/З,308,284,264,245,222,190,146,85
9,Февраль,ЮВ/ЮЗ,455,454,453,444,415,365,295,205
10,Февраль,Ю,660,650,589,563,529,470,387,279
11,Март,С,154,155,162,175,183,183,181,175
12,Март,СВ/СЗ,190,206,221,235,240,236,222,198
13,Март,В/З,438,436,432,430,410,391,372,353
14,Март,ЮВ/ЮЗ,520,534,580,609,623,620,601,566
15,Март,Ю,640,650,681,705,733,744,737,721
16,Апрель,С,189,191,192,204,220,250,282,330
17,Апрель,СВ/СЗ,259,260,270,287,312,340,370,402
18,Апрель,В/З,443,450,465,472,503,531,556,579
19,Апрель,ЮВ/ЮЗ,510,525,568,604,652,693,727,755
20,Апрель,Ю,480,520,536,600,661,720,775,800
21,Май,С,215,217,222,228,238,274,320,390
22,Май,СВ/СЗ,342,343,349,349,366,401,452,520
23,Май,В/З,462,470,492,515,540,577,626,688
24,Май,ЮВ/ЮЗ,500,525,533,556,593,644,709,789
25,Май,Ю,427,440,459,494,545,612,695,790
26,Июнь,С,225,231,237,237,246,274,336,444
27,Июнь,СВ/СЗ,419,391,376,375,388,414,455,510
28,Июнь,В/З,480,489,504,524,551,583,621,665
29,Июнь,ЮВ/ЮЗ,455,473,503,529,571,614,658,704
30,Июнь,Ю,350,357,397,440,489,544,606,673
31,Июль,С,213,214,220,220,224,244,292,378
32,Июль,СВ/СЗ,358,354,357,355,366,391,429,480
33,Июль,В/З,496,498,505,518,535,558,587,621
34,Июль,ЮВ/ЮЗ,461,480,504,532,564,601,642,687
35,Июль,Ю,361,388,421,460,506,559,618,684
36,Август,С,143,144,146,152,157,166,176,187
37,Август,СВ/СЗ,269,269,269,270,272,277,287,302
38,Август,В/З,432,434,438,443,449,456,465,474
39,Август,ЮВ/ЮЗ,484,497,513,531,551,573,598,625
40,Август,Ю,420,455,490,525,560,596,632,668
41,Сентябрь,С,109,108,104,99,94,89,85,80
42,Сентябрь,СВ/СЗ,205,192,180,171,162,155,150,145
43,Сентябрь,В/З,358,360,360,357,351,343,332,318
44,Сентябрь,ЮВ/ЮЗ,479,484,503,520,533,543,550,554
45,Сентябрь,Ю,510,530,550,571,592,614,636,659
46,Октябрь,С,86,85,84,85,83,78,71,62
47,Октябрь,СВ/СЗ,116,116,114,110,104,95,84,70
48,Октябрь,В/З,301,291,277,260,240,217,191,161
49,Октябрь,ЮВ/ЮЗ,480,490,499,499,485,459,419,365
50,Октябрь,Ю,624,623,621,612,593,562,521,469
51,Ноябрь,С,79,78,74,68,59,47,33,11
52,Ноябрь,СВ/СЗ,88,85,79,71,61,48,34,13
53,Ноябрь,В/З,230,210,187,160,128,92,53,14
54,Ноябрь,ЮВ/ЮЗ,415,412,396,375,323,242,131,26
55,Ноябрь,Ю,636,617,542,509,436,324,171,32
56,Декабрь,С,78,76,71,56,40,20,4,0
57,Декабрь,СВ/СЗ,86,83,76,62,44,25,8,0
58,Декабрь,В/З,188,187,173,132,81,34,10,0
59,Декабрь,ЮВ/ЮЗ,410,409,370,282,194,116,40,0
60,Декабрь,Ю,650,609,497,380,260,141,22,0
