location,entalpia_0_98,moisture_content
Астрахань,63.6,11.7
Благовещенск,64.1,13.9
Владивосток,62.1,15.2
Владикавказ,61.8,13.1
Волгоград,56.2,9.4
Воронеж,58,11.4
Грозный,65.1,13.1
Екатеринбург,53.5,10.1
Иркутск,53.9,10.9
Казань,57,11.5
Калининград,55,11.7
Краснодар,64.6,12.6
Красноярск,54.7,11.3
Минеральные Воды,62.1,11.9
Москва,57.8,12.2
Нижний Новгород,57,11.9
Новосибирск,54.6,10.9
Омск,54.3,10.7
Оренбург,56.1,9.6
Пермь,54.8,11.2
Петропавловск-Камчатский,41.2,9
Ростов-на-Дону,60.6,11.5
Санкт-Петербург,56.5,12.8
Саратов,56.6,10.4
Севастополь,67.3,15.5
Симферополь,56.3,11
Сочи,73.8,17.6
Ставрополь,58.8,11.1
Тюмень,55.1,11.2
Уфа,56.9,11.2
Феодосия,65.9,14
Хабаровск,64,14.5
Челябинск,52.5,10.1
Элиста,61.9,11.3
Южно-Сахалинск,56,13
Ялта,65.2,14.2
