station,subject,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII
Майкоп,Республика Адыгея (Адыгея),8.8,9.4,10.4,11.7,11.9,11.9,12.5,12.9,12.4,11.2,9.7,8.6
Катанда,Республика Алтай,11.9,14.4,15.5,15.2,16.6,16.6,15.8,16.5,16.4,13.3,10.8,10.6
Кош-Агач,Республика Алтай,12.2,14.7,15.4,13.6,14,14.2,13.8,14.2,15,13.8,12.5,11.6
Онгудай,Республика Алтай,10.7,13.2,14.6,15.5,16,15.7,14.9,15.3,15.7,12.9,10.3,9.7
Яйлю,Республика Алтай,7.8,9.8,11.3,12.3,13.3,13.5,12.4,11,10.5,8.9,7.7,7.1
Алейск,Алтайский край,9,10.1,10.3,11.5,14.2,13.4,12.8,13.3,13.5,10.2,8,8.5
Барнаул,Алтайский край,9.3,10.6,10.8,11.1,13.4,12.7,12.1,12.3,12.1,9.2,7.9,8.8
Бийск,Алтайский край,11.2,12.4,12.3,11.8,14.2,13.7,13.1,13.5,13.3,10.4,9,10.1
Змеиногорск,Алтайский край,10.9,12,11.5,11.8,14.4,14,13.2,14,14.1,10.7,9.3,9.9
Родино,Алтайский край,9.2,10.1,10.4,11.9,14.9,14.4,13.7,14.1,13.6,10.1,8.2,8.7
Рубцовск,Алтайский край,9.5,10.8,10.9,12.2,14.5,14,13.3,13.8,13.8,10.4,8.4,9
Славгород,Алтайский край,9.2,10.2,10.4,11.8,14.7,13.8,12.7,13,12.8,9.8,8.1,8.9
Тогул,Алтайский край,8.5,9.6,10,10.5,13,12.6,12,12.1,11.7,8.8,7.5,8.1
Архара,Амурская область,12.3,14.3,13.9,11.9,13,11.9,10.2,10.4,11.8,12,11.3,11.5
Белогорск,Амурская область,9.9,11.9,11.9,11.2,12.6,11.9,10.4,10.5,11.2,10.6,9.6,9
Благовещенск,Амурская область,10.4,12.1,12,11.8,12.9,11.8,10.3,10.3,11.1,10.9,9.6,9.6
Бомнак,Амурская область,10.5,13.7,14.2,11.7,12.9,13.6,12.1,11.6,11.5,10.6,10.5,9.3
Братолюбовка,Амурская область,11.7,13.6,13.7,11.8,13.5,12.9,11.3,11.1,12.1,11.6,11.1,10.8
Бысса,Амурская область,14.3,17.7,17.3,13.3,14.9,15.4,13.8,13.1,13.5,12.4,12.5,12.2
Ерофей Павлович,Амурская область,13.8,16.9,16.4,13.3,14.6,15.1,13.4,13.3,13.5,13.1,13.4,12.1
Завитая,Амурская область,10.2,11.6,11.8,11,12.6,11.9,10.3,10.3,11.2,10.8,10.1,9.7
Зея,Амурская область,11.6,14.9,15.3,12.8,14.6,14.7,12.8,12.5,13,12.1,11.5,10.3
Норск,Амурская область,14.3,17.9,17.6,12.9,13.9,13.8,12.1,11.7,12.8,12.1,12.6,12.4
Поярково,Амурская область,12,14.2,14,12.6,13.8,12.4,10.9,10.7,11.8,11.9,11.3,11.2
Свободный,Амурская область,12,14.5,14.5,12.7,14.2,13.5,11.7,11.7,12.7,12.3,11.6,10.8
Сковородино,Амурская область,14.9,18.5,18.7,14.6,15.8,16.3,14.5,14.3,14.8,14.3,14.3,12.9
Тында,Амурская область,11.4,15.2,16.6,13.7,14.3,15.4,13.9,13.5,13.1,12.7,12,9.9
Усть-Нюкжа,Амурская область,8.1,12.2,15.2,13,13.5,14.9,13.7,13,11.9,10.4,9.1,7.3
Черняево,Амурская область,13,16.7,16.8,13.4,14.5,14.1,12.1,12.1,12.8,12.4,12.1,11.3
Шимановск,Амурская область,13.1,15.4,15,12.6,14.5,14.3,12.3,12.3,13.1,12.3,12.2,11.8
Экимчан,Амурская область,12,17.1,17.6,13.6,14,15,13.5,12.1,11.8,11.2,11.3,10
Архангельск,Архангельская область,7.1,7,8.5,8.6,9.2,9.9,9.8,8.6,6.5,4.5,4.8,6.2
Емецк,Архангельская область,7.9,7.8,9.2,9.3,10.2,10.9,10.7,9.6,7.4,4.8,5.1,6.9
Каргополь,Архангельская область,7.5,7.9,9.6,9.4,11,11,10.9,10,7.7,5.2,5,6.3
Койнас,Архангельская область,8.5,8.6,10.7,10.8,10.8,11.5,11.8,10.1,7.4,4.9,5.8,7.4
Котлас,Архангельская область,7.3,7.8,9,9.6,11.3,11.7,11.4,10.5,8,5.1,5,6.3
Мезень,Архангельская область,7.8,7.3,8.2,8.5,9.2,10.5,10.4,8.7,6.8,4.7,5.5,7
Онега,Архангельская область,7,7.1,8.4,8.4,9.7,10.1,9.9,8.9,7,4.8,4.7,6.2
Шенкурск,Архангельская область,7.4,7.8,9.4,9.4,10.7,11,10.9,9.9,7.5,4.9,5,6.4
Астрахань,Астраханская область,6.7,7.8,9.2,11.6,11.7,11.1,11.6,12.1,11.6,10,7.2,5.9
Верхний Баскунчак,Астраханская область,6.6,73,8.3,11.8,13,13.1,13.1,13.4,12.6,10.1,6.8,5.8
Белорецк,Республика Башкортостан,8.2,10.3,10.9,11.4,13.5,13.1,12.1,12.1,11,7.9,6.9,7.5
Дуван,Республика Башкортостан,7.8,8.9,9.4,10.4,12.9,12.6,11.6,11.3,9.9,6.9,6.6,7.3
Мелеуз,Республика Башкортостан,8.7,10,9.8,11.1,14,13.8,13.1,13.7,12.4,8.5,6.6,7.9
Уфа,Республика Башкортостан,8.1,9.3,9.4,10.1,12.5,12.2,11.6,11.7,10.4,7.2,6.1,7.4
Янаул,Республика Башкортостан,8.3,9.5,9.9,10,13.4,13.5,13,12.6,10.5,6.9,6.2,7.6
Брянск,Брянская область,5.9,6.8,7.2,9.2,11.1,10.8,10.5,10.6,9.4,7.1,4.7,4.8
Бабушкин,Республика Бурятия,8.5,9.8,10.7,9.7,10.6,10.5,8.7,7.6,7.9,7.7,7.5,7.2
Багдарин,Республика Бурятия,15.9,20.8,20.5,16.1,16.4,17.6,15.6,15.1,15.5,15.7,15.8,13.8
Баргузин,Республика Бурятия,10,12.2,13.6,11.8,14,14.7,12.8,11.8,11.5,9.9,9.6,9.5
Кяхта,Республика Бурятия,9.6,11.2,12.3,13.4,14.5,13.8,12,12,12.5,11.6,10.1,9.1
Монды,Республика Бурятия,15.9,17.5,18.1,16.5,16.5,16.3,14.2,14.3,15.2,15.7,15.2,14.7
Нижнеангарск,Республика Бурятия,7.4,9.5,11.4,9.9,10.3,11.3,10,8.9,8.2,7,7.2,7.3
Сосново-Озерское,Республика Бурятия,11.2,14,15.5,13.1,14.1,14.5,12.8,12.5,12.8,11.3,10.5,9.8
Уакит,Республика Бурятия,10.1,12.6,14.3,13,12.8,14.1,13.1,12.7,12,11.4,10.6,9.6
Улан-Удэ,Республика Бурятия,10.2,13.3,14.2,13.5,15.3,14.7,12.8,12.4,12.5,11.4,10.1,9.4
Хоринск,Республика Бурятия,12.5,16.1,16.8,15,16.5,16.3,14.1,13.8,14.2,12.9,11.7,11.2
Владимир,Владимирская область,6,6.7,7.5,9.2,11.1,10.5,10.3,10,8.4,6,4.5,5.1
Муром,Владимирская область,6.7,7.9,8.4,9.7,11.9,11.6,11.4,11.2,9.5,6.6,5,5.8
Волгоград,Волгоградская область,5.8,6.4,7.1,10,10.8,11,11.2,11.3,10.6,8.4,5.6,5.2
Камышин,Волгоградская область,6.5,6.8,7.1,10.1,11.8,11.7,11.8,12,11.1,8.7,5.8,5.5
Котельниково,Волгоградская область,6.2,7.1,8,11.9,13.4,13.5,13.7,14.2,13.6,10.5,6.8,5.6
Новоаннинский,Волгоградская область,6.4,7.1,7.5,11.3,13,12.7,12.8,13.6,12,8.9,5.7,5.5
Эльтон,Волгоградская область,7,7.5,8,11.5,13.3,13.5,13.3,13.5,12.7,10.1,6.9,6.2
Бабаево,Вологодская область,7,7.9,9.4,10.2,12.3,12.1,11.7,11,8.9,5.8,4.6,5.7
Вологда,Вологодская область,7.2,8,9,9.4,11.5,11.4,11.2,10.7,8.6,5.8,4.9,6.1
Вытегра,Вологодская область,7.2,7.8,9,9.3,11.2,11.1,10.9,9.8,7.8,5.3,4.6,5.9
Никольск,Вологодская область,7.4,8.7,10,10.6,12.4,12.3,11.7,11,8.6,5.6,5,6.3
Тотьма,Вологодская область,6.8,7.7,9.1,9.6,11.5,11.4,11.2,10.4,8.2,5.2,4.6,5.8
Воронеж,Воронежская область,6.1,6.8,6.9,9.6,11.8,11.4,11.4,11.6,10.5,7.7,5.2,5.3
Дербент,Республика Дагестан,4.9,4.8,5.2,6.6,7.2,7.5,7.3,7.2,6.8,6,5.2,5
Махачкала,Республика Дагестан,5.5,5.4,6,7.3,7.9,8.1,7.8,7.6,7,6.6,5.7,5.5
Терекли-Мектеб,Республика Дагестан,6.5,6.9,9.2,12.7,13.6,13.8,13.8,13.7,12.5,10.3,7.4,6
Еврейская автономная область,Еврейская автономная область,14.9,16.6,14.6,12.3,13.7,12.3,10.6,10.4,12,12.5,11.7,13.2
Екатерино-Никольское,Еврейская автономная область,10.4,12.3,12.5,12.8,13.5,11.8,10.1,10,11.5,11.5,9.9,9.7
Облучье,Еврейская автономная область,13,15,14.8,12.7,14.4,13.3,11.4,11.4,12.4,12.1,11.9,12
Агинское,Забайкальский край,11.9,13.7,13.9,12.5,14.5,14.7,13.2,13.1,12.9,10.8,10.3,11.1
Акша,Забайкальский край,14.8,17.8,17.4,15.8,17.4,16.6,14.1,14,15,14.5,13.7,13.3
Александровский Завод,Забайкальский край,14.8,17.2,17.3,15,16.7,16.5,14.5,14.5,15.5,14.9,14.4,13.8
Борзя,Забайкальский край,14.1,16.5,16,14.6,15.9,15,12.9,13.1,14.1,13.8,13.2,13
Дарасун,Забайкальский край,14.3,16.7,16.4,15.2,17.3,17.4,14.9,14.4,15.3,14.3,13.3,12.9
Калакан,Забайкальский край,15.2,22.1,23.7,18.3,17.6,18.3,16.6,15.6,16.2,16.2,15.5,12.9
Красный Чикой,Забайкальский край,12.6,16,16.6,15.3,17.3,16.5,13.9,13.6,14.7,13.6,12,11
Могоча,Забайкальский край,14.8,19.6,19.1,14.9,15.9,16.3,14.7,14.3,14.7,14.8,14.6,12.8
Нерчинск,Забайкальский край,13.3,17.4,17.5,15.3,16.9,16.1,13.8,13.7,15,14.7,13.8,12.5
Нерчинский завод,Забайкальский край,9.3,11.7,13.2,12.7,14.7,14.7,12.9,12.7,13.6,12.6,10.9,9.1
Средний Калар,Забайкальский край,14.9,22,24.3,18.2,16.3,17.8,16.5,15.8,15.6,15.7,14.9,12.7
Тункогочен,Забайкальский край,18,22.4,21.9,16.4,17.1,17.7,15.5,15,15.8,16,17.3,15.8
Тупик,Забайкальский край,15.1,19.3,20.5,16.4,16.4,17.2,15.7,15.3,15.2,15.4,15.2,13.4
Чара,Забайкальский край,12.8,18.2,20,14.6,13.3,15,14.4,14.2,12.8,12.8,12.6,10.9
Чита,Забайкальский край,13.7,16.9,16.8,14.9,16.5,16.3,14,13.6,14.3,13.4,12.5,12.1
Иваново,Ивановская область,7,8.4,9.2,10.3,12.5,12,11.7,11.4,9.4,6.5,5,5.9
Кинешма,Ивановская область,6.4,7.3,8.1,9.5,11.5,10.9,10.6,10.2,8.2,5.7,4.5,5.4
Магас (Назрань),Республика Ингушетия,8.4,9.1,9.9,10.4,10.1,10.2,10.5,10.8,10.4,9.8,9.1,8.6
Алыгджер,Иркутская область,11.1,13.6,15.6,14,15.3,16,14,13.6,13.9,11.9,10.3,10.1
Байкальск,Иркутская область,9.4,11,11,9.5,10.7,10.3,8.7,8.1,8.4,8.2,8.7,8.9
Бодайбо,Иркутская область,7.8,11,15.1,12.7,13.6,15.4,14.4,12.9,10.2,7.5,8,7.5
Братск,Иркутская область,8.8,11.3,13.4,11.1,12.4,12.7,11.6,10.8,9.8,7.8,7.7,8.1
Верхне-Марково,Иркутская область,11.1,14.7,18.5,14.2,14.4,15.6,14.2,13.1,11.5,9.2,10.3,10.5
