latitude,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII
38,30.8,39.2,49.8,61.7,70.8,75.3,73.6,66.2,55.1,43.6,33.6,28.7
40,28.8,37.2,47.8,59.7,68.8,73.3,71.6,64.2,53.1,41.6,31.6,26.7
42,26.8,35.2,45.8,57.7,66.8,71.3,69.6,62.2,51.1,39.6,29.6,24.7
44,24.8,33.2,43.8,55.7,64.8,69.3,67.6,60.2,49.1,37.6,27.6,22.7
46,22.8,31.2,41.8,53.7,62.8,67.3,65.6,58.2,47.1,35.6,25.6,20.7
48,20.8,29.2,39.8,51.7,60.8,65.3,63.6,56.2,45.1,33.6,23.6,18.7
50,18.8,27.2,37.8,49.7,58.8,63.3,61.6,54.2,43.1,31.6,21.6,16.7
52,16.8,25.2,35.8,47.7,56.8,61.3,59.6,52.2,41.1,29.6,19.6,14.7
54,14.8,23.2,33.8,45.7,54.8,59.3,57.6,50.2,39.1,27.6,17.6,12.7
56,12.8,21.2,31.8,43.7,52.8,57.3,55.6,48.2,37.1,25.6,15.6,10.7
58,10.8,19.2,29.8,41.7,50.8,55.3,53.6,46.2,35.1,23.6,13.6,8.7
60,8.8,17.2,27.8,39.7,48.8,53.3,51.6,44.2,33.1,21.6,11.6,6.7
62,6.8,15.2,25.8,37.7,46.8,51.3,49.6,42.2,31.1,19.6,9.6,4.7
64,4.8,13.2,23.8,35.7,44.8,49.3,47.6,40.2,29.1,17.6,7.6,2.7
66,2.8,11.2,21.8,33.7,42.8,47.3,45.6,38.2,27.1,15.6,5.6,0.7
68,0.8,9.2,19.8,31.7,40.7,45.3,43.6,36.2,25.1,13.6,3.6,-1.3
